dt,AverageTemperature,AverageTemperatureUncertainty,Country
1743-11-01,4.3839999999999995,2.294,Åland
1744-04-01,1.53,4.68,Åland
1744-05-01,6.702000000000001,1.789,Åland
1744-06-01,11.609000000000002,1.577,Åland
1744-07-01,15.342,1.41,Åland
1744-09-01,11.702,1.517,Åland
1744-10-01,5.477,1.862,Åland
1744-11-01,3.407,1.425,Åland
1744-12-01,-2.181,1.641,Åland
1745-01-01,-3.85,1.841,Åland
1745-02-01,-6.574999999999998,1.36,Åland
1745-03-01,-4.195,1.213,Åland
1745-04-01,-0.9660000000000002,1.172,Åland